status,sourceName,taxId,method,confidence,resolvedClientId,resolvedClientName,candidates
OK,Typingdna S.R.L,RO36172414,sal,1.00,cmqqma3pj02u7pefwlolgu8dh,Typing DNA,Typing DNA [1] (cmqqma3pj02u7pefwlolgu8dh)
OK,"WAYDEV,INC",EIN 35-2588152,sal,1.00,cmqqm9yrt01nopefw330abybi,Waydev,Waydev [1] (cmqqm9yrt01nopefw330abybi)
OK,AstorMueller AG,"CHE-104.928.226,",sal,1.00,cmqqma1u402gvpefwjxkip05y,AstorMueller,AstorMueller [3] (cmqqma1u402gvpefwjxkip05y)
OK,Custify SRL,RO38229657,sal,1.00,cmqqm9rae00iypefwr31s4cct,Custify,Custify [4] (cmqqm9rae00iypefwr31s4cct)
OK,SELGROS CASH & CARRY SRL,RO11805367,sal,1.00,cmqqm9qvm00hjpefwji6v91yo,Selgros Romania,Selgros Romania [9] (cmqqm9qvm00hjpefwji6v91yo)
OK,CREATOPY.INC,,sal,1.00,cmqqma3pa02u4pefwbrt6cbsx,Creatopy,Creatopy [1] (cmqqma3pa02u4pefwbrt6cbsx)
OK,CARREFOUR ROMANIA SA,RO11588780,sal,1.00,cmqqm9tzu00x6pefwu2wwju14,Carrefour Romania,Carrefour Romania [6] (cmqqm9tzu00x6pefwu2wwju14)
OK,APA SERVICE S.A.,RO22131317,sal,1.00,cmqqma3m502sxpefwh5w5q8di,Apa Giurgiu SA,Apa Giurgiu SA [1] (cmqqma3m502sxpefwh5w5q8di)
OK,CAPITAL FINANCIAL SERVICES,RO22170545,override,1.00,cmqqxiec00000xg5skb0gb3pp,CAPITAL FINANCIAL SERVICES,CAPITAL FINANCIAL SERVICES [0] (cmqqxiec00000xg5skb0gb3pp)
OK,Ticketing Nation S.R.L,RO38552916,sal,1.00,cmqqma4kq030cpefwbff6d9tc,Ticketing Nation S.R.L.,Ticketing Nation S.R.L. [2] (cmqqma4kq030cpefwbff6d9tc)
OK,KAUFLAND ROMÂNIA S.C.S.,RO15991149,sal,1.00,cmqqm9zbh01wfpefwcqvy4a5m,Kaufland Romania,Kaufland Romania [2] (cmqqm9zbh01wfpefwcqvy4a5m)
OK,LA FANTANA S.R.L.,RO35534516,sal,1.00,cmqqma1q802fxpefwltas8nxf,La Fantana,La Fantana [2] (cmqqma1q802fxpefwltas8nxf)
OK,Spektr ApS,DK44012677,sal,1.00,cmqqma40r02ytpefw4obicf58,Spektr,Spektr [2] (cmqqma40r02ytpefw4obicf58)
OK,DONA LOGISTICA S.A,RO33358111,sal,1.00,cmqqma0a5022vpefw5wczhmsj,SIEPCOFAR,SIEPCOFAR [1] (cmqqma0a5022vpefw5wczhmsj)
OK,DONA CARGO S.A.,RO42628117,sal,1.00,cmqqma0a5022vpefw5wczhmsj,SIEPCOFAR,SIEPCOFAR [1] (cmqqma0a5022vpefw5wczhmsj)
OK,DONA MARKETING GRUP S.R.L.,33901012,sal,1.00,cmqqma0a5022vpefw5wczhmsj,SIEPCOFAR,SIEPCOFAR [1] (cmqqma0a5022vpefw5wczhmsj)
OK,SANVERO HEALTHCARE S.R.L.,44472560,sal,1.00,cmqqma0a5022vpefw5wczhmsj,SIEPCOFAR,SIEPCOFAR [1] (cmqqma0a5022vpefw5wczhmsj)
OK,FLASHNET S.A.,RO18014742,sal,1.00,cmqqma3yq02y4pefwjwckzxz2,Flashnet,Flashnet [7] (cmqqma3yq02y4pefwjwckzxz2)
OK,masernet GmbH,DE326739998,sal,1.00,cmqqma4lh030kpefw14xmstm4,Robiotic Gmbh,Robiotic Gmbh [2] (cmqqma4lh030kpefw14xmstm4)
OK,PRO TV S.R.L.,RO2835636,override,1.00,cmqqma8wg03n3pefw2dt9pcdv,PRO TV SRL,PRO TV SRL [0] (cmqqma8wg03n3pefw2dt9pcdv)
OK,Metaminds S.A.,RO34770594,sal,1.00,cmqqma3sp02vipefwuuxad2za,Metaminds S.A.,Metaminds S.A. [1] (cmqqma3sp02vipefwuuxad2za)
OK,VONQ B.V.,NL819627380B01,sal,1.00,cmqqma6v00354pefwuwmgkzvk,VONQ B.V.,VONQ B.V. [2] (cmqqma6v00354pefwuwmgkzvk)
OK,"CODE WHALE, INC.",,override,1.00,cmqqmaajo03zdpefw6ar5z0cy,"CODE WHALE, INC","CODE WHALE, INC [0] (cmqqmaajo03zdpefw6ar5z0cy)"
OK,Quantic Lab. S.R.L.,RO18404320,override,1.00,cmqqm9rc100jupefwaycskvgr,Quantic Lab,Quantic Lab [0] (cmqqm9rc100jupefwaycskvgr)
OK,INSIGHTS ENTERPRISE S.R.L.,RO34537239,sal,1.00,cmqqma6z3035spefwmptu1r0n,INSIGHTS ENTERPRISE S.R.L.,INSIGHTS ENTERPRISE S.R.L. [2] (cmqqma6z3035spefwmptu1r0n)
OK,MW TEAM INVEST S.R.L.,RO18926986,sal,1.00,cmqqma4k70306pefwp8qawpen,MW TEAM INVEST,MW TEAM INVEST [1] (cmqqma4k70306pefwp8qawpen)
OK,OVIDIU DEVELOPMENT S.A.,RO18874682,sal,1.00,cmqqma4kg0309pefwvy74kj8w,Ovidiu Development,Ovidiu Development [1] (cmqqma4kg0309pefwvy74kj8w)
OK,TMK HYDROENERGY POWER S.R.L.,RO27189093,sal,1.00,cmqqm9u6x00z9pefwzfyyf1hy,TMK HYDROENERGY POWER,TMK HYDROENERGY POWER [1] (cmqqm9u6x00z9pefwzfyyf1hy)
OK,TOMIS TEAM S.A.,RO18874690,sal,1.00,cmqqma4jw0303pefwp9arvde2,Tomis Team S.A.,Tomis Team S.A. [1] (cmqqma4jw0303pefwp9arvde2)
OK,DISTRIBUTIE ENERGIE OLTENIA S.A.,RO14491102,sal,1.00,cmqqma3uu02wepefwaiu6klgh,Distributie Oltenia,Distributie Oltenia [1] (cmqqma3uu02wepefwaiu6klgh)
OK,PREMIER ENERGY FURNIZARE S.A.,RO21349608,override,1.00,cmqqma1zz02jdpefw19foy0g4,Premier Energy Furnizare S.A.,Premier Energy Furnizare S.A. [0] (cmqqma1zz02jdpefw19foy0g4)
OK,ZIPPER SERVICES S.R.L.,RO16723187,sal,1.00,cmqqm9yw501p8pefwxrvnz3kg,eZipper,eZipper [4] (cmqqm9yw501p8pefwxrvnz3kg)
OK,Stillfront Group AB (publ),556721-3078,override,1.00,cmqqma6y7035kpefwjzuj5c55,Stillfront Group AB,Stillfront Group AB [0] (cmqqma6y7035kpefwjzuj5c55)
OK,MILLENIUM PRO DESIGN SRL,RO12098582,override,1.00,cmqqma7jc03chpefwy0fuxstr,Millenium Pro Design,Millenium Pro Design [0] (cmqqma7jc03chpefwy0fuxstr)
OK,FOCALITY SRL,RO23154424,sal,1.00,cmqqma6rz034jpefwo1i1je1x,Focality (Piroux),Focality (Piroux) [1] (cmqqma6rz034jpefwo1i1je1x)
OK,TECHNOSOFT SA,CH-514.3.012.303-9,sal,1.00,cmqqma69j0344pefwq0i0rt0i,TECHNOSOFT,TECHNOSOFT [2] (cmqqma69j0344pefwq0i0rt0i)
OK,QUEHENBERGER LOGISTICS ROU SRL,RO11808959,sal,1.00,cmqqma77a038dpefwv6rkvc19,Quehenberger,Quehenberger [2] (cmqqma77a038dpefwv6rkvc19)
OK,LATITUDE BUSINESS APPLICATION S.R.L.,RO47411819,override,1.00,cmqqma75c037qpefwdfki07yb,Latitude Business Application,Latitude Business Application [0] (cmqqma75c037qpefwdfki07yb)
OK,CARREFOUR BANQUE,FR87313811515,sal,1.00,cmqqma7k103cppefwg8m4nl96,Carrefour France,Carrefour France [1] (cmqqma7k103cppefwg8m4nl96)
OK,CARREFOUR SYSTEMES D'INFORMATION 0552 MASSY,FR18433929114 / 433929114,override,1.00,cmqqmaac203y5pefw6cg5oy19,CARREFOUR SYSTEMES D'INFORMATION 0552 MASSY,CARREFOUR SYSTEMES D'INFORMATION 0552 MASSY [0] (cmqqmaac203y5pefw6cg5oy19)
OK,HERTZA L.L.C.,,sal,1.00,cmqqma7ib03c4pefwht6rzjdk,Hertza,Hertza [1] (cmqqma7ib03c4pefwht6rzjdk)
OK,PRIMONET RO SRL,RO29972252,sal,1.00,cmqqma68d033ypefwc82jgdqg,PRIMONET RO SRL,PRIMONET RO SRL [1] (cmqqma68d033ypefwc82jgdqg)
OK,Electro-Alfa International S.A.,RO7348194,override,1.00,cmqqmaai603z3pefw4qqy5xsz,Electroalfa SA,Electroalfa SA [0] (cmqqmaai603z3pefw4qqy5xsz)
OK,COMTIM ROMANIA S.R.L.,RO1342707,sal,1.00,cmqqm9o51002lpefwhm3n5uq6,ITPS,ITPS [1] (cmqqm9o51002lpefwhm3n5uq6)
OK,ART &CRAFT DESIGN S.R.L.,RO18238693,sal,1.00,cmqqma7jc03chpefwy0fuxstr,Millenium Pro Design,Millenium Pro Design [1] (cmqqma7jc03chpefwy0fuxstr)
OK,GRAFTEX PRODCOM S.R.L.,RO9737945,sal,1.00,cmqqma7jc03chpefwy0fuxstr,Millenium Pro Design,Millenium Pro Design [1] (cmqqma7jc03chpefwy0fuxstr)
OK,JAXABLE S.R.L.,RO38426225,sal,1.00,cmqqma7is03capefwbuj9rr2c,Moonlet.io,Moonlet.io [2] (cmqqma7is03capefwbuj9rr2c)
OK,Pvolve LLC,F1299R,sal,1.00,cmqqma6xn035hpefw9yil5cbv,Pvolve,Pvolve [1] (cmqqma6xn035hpefw9yil5cbv)
OK,MYCONNECTOR PLATFORM S.R.L.,RO44637022,sal,1.00,cmqqma7yy03iepefwv5ym0yd2,MYCONNECTOR PLATFORM S.R.L.,MYCONNECTOR PLATFORM S.R.L. [1] (cmqqma7yy03iepefwv5ym0yd2)
OK,M247 Europe S.R.L.,RO30203422,sal,1.00,cmqqma7t303g3pefw97xynij8,M247 Europe,M247 Europe [6] (cmqqma7t303g3pefw97xynij8)
OK,ELIT S.R.L.,RO14444712,sal,1.00,cmqqma87803kkpefwn1fknfvb,ELIT,ELIT [1] (cmqqma87803kkpefwn1fknfvb)
OK,VALORIS CENTER SRL,RO18602432,sal,1.00,cmqqm9rh300mdpefwoldkxj7x,Valoris,Valoris [1] (cmqqm9rh300mdpefwoldkxj7x)
OK,UNITED MEDIA SERVICES S.R.L.,RO18286690,sal,1.00,cmqqma84103jzpefw3sllspmu,United Media,United Media [2] (cmqqma84103jzpefw3sllspmu)
